id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,roi_percentage,market_cap,circulating_supply,total_supply
wrapped-steth,WSTETH,Wrapped Steth,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,2960.94,10366487332,13,10366487332,137392664,3043.49,2851.82,-72.16309344519868,-2.37919,-243955529.35070992,-2.2992,3500008.42678366,3500008.42678366,,7256.02,-59.27198,2022-05-13 15:09:54.509000+00:00,558.54,429.09966,2022-05-13 01:36:45.053000+00:00,2024-08-28 20:19:09.038000+00:00,0.0,N/A,0.0,10366487332.0,3500008.43,3500008.43
avalanche-2,AVAX,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,23.88,9670737963,14,10626277279,458671756,25.48,23.29,-1.5997648685539545,-6.27851,-644892126.6010113,-6.2516,404859817.388391,444862914.814921,720000000.0,144.96,-83.56971,2021-11-21 14:18:56.538000+00:00,2.8,750.3036,2020-12-31 13:15:21.540000+00:00,2024-08-28 20:19:01.032000+00:00,0.0,N/A,0.0,9670737963.0,404859817.39,444862914.81
wrapped-bitcoin,WBTC,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,58991.0,9052593195,15,9052593195,357063173,61895.0,57987.0,-2891.677568041174,-4.67284,-436808065.7388973,-4.60312,153372.25551747,153372.25551747,153372.25551747,73505.0,-19.86596,2024-03-14 07:10:23.403000+00:00,3139.17,1776.3832,2019-04-02 00:00:00+00:00,2024-08-28 20:19:09.266000+00:00,0.0,N/A,0.0,9052593195.0,153372.26,153372.26
shiba-inu,SHIB,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,0.0,8178012955,16,13878169107,444757839,1.443e-05,1.346e-05,-5.15695446157e-07,-3.57739,-311046873.5458298,-3.66409,589261343801565.9,999982345661719.0,,8.616e-05,-83.96826,2021-10-28 03:54:55.568000+00:00,5.6366e-11,24505196.11166,2020-11-28 11:26:25.838000+00:00,2024-08-28 20:19:07.836000+00:00,0.0,N/A,0.0,8178012955.0,589261343801565.9,999982345661719.0
weth,WETH,Weth,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,2518.2,7298219232,17,7298219232,1174554632,2585.95,2418.42,-59.628461422178134,-2.31312,-214727800.45107937,-2.8581,2895864.48671079,2895864.48671079,,4799.89,-47.77541,2021-11-09 00:00:00+00:00,82.1,2953.13095,2018-12-15 00:00:00+00:00,2024-08-28 20:19:09.457000+00:00,0.0,N/A,0.0,7298219232.0,2895864.49,2895864.49
chainlink,LINK,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,11.3,6846050984,18,11258101147,439517886,11.7,10.92,-0.2774910239091355,-2.39731,-192628235.2300825,-2.73671,608099971.3083414,1000000000.0,1000000000.0,52.7,-78.65392,2021-05-10 00:13:57.214000+00:00,0.148183,7491.04862,2017-11-29 00:00:00+00:00,2024-08-28 20:19:03.554000+00:00,0.0,N/A,0.0,6846050984.0,608099971.31,1000000000.0
bitcoin-cash,BCH,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,322.74,6349364050,19,6750145963,268346334,338.02,315.65,-14.55142326244345,-4.31419,-306785926.84912014,-4.60906,19753149.8966508,21000000.0,21000000.0,3785.82,-91.49358,2017-12-20 00:00:00+00:00,76.93,318.58517,2018-12-16 00:00:00+00:00,2024-08-28 20:19:03.077000+00:00,0.0,N/A,0.0,6349364050.0,19753149.9,21000000.0
polkadot,DOT,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,4.29,6028829753,20,6375981540,225251521,4.54,4.18,-0.2485449829782187,-5.47754,-336143491.1764412,-5.28115,1405759685.8034,1486706072.78339,,54.98,-92.24242,2021-11-04 14:10:09.301000+00:00,2.7,58.11899,2020-08-20 05:48:11.359000+00:00,2024-08-28 20:19:06.743000+00:00,0.0,N/A,0.0,6028829753.0,1405759685.8,1486706072.78
leo-token,LEO,Leo Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,5.79,5356543025,21,5701545706,1112789,5.87,5.71,-0.06645464710796656,-1.13429,-66703744.67628479,-1.22996,925622289.9,985239504.0,,8.14,-29.03448,2022-02-08 17:40:10.285000+00:00,0.799859,621.78821,2019-12-24 15:14:35.376000+00:00,2024-08-28 20:19:04.538000+00:00,0.0,N/A,0.0,5356543025.0,925622289.9,985239504.0
dai,DAI,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,1.0,5353547893,22,5353547893,146138947,1.003,0.984363,0.00079791,0.07984,-2508968.148921013,-0.04684,5351405869.21628,5351405869.21628,,1.22,-18.20267,2020-03-13 03:02:50.373000+00:00,0.88196,13.04966,2023-03-11 07:50:50.514000+00:00,2024-08-28 20:19:01.476000+00:00,0.0,N/A,0.0,5353547893.0,5351405869.22,5351405869.22
near,NEAR,Near Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,4.45,4914933898,23,5252596474,412183203,4.89,4.24,-0.4198444464610489,-8.61827,-474866417.93846226,-8.81046,1107181322.94878,1183246170.6779,,20.44,-78.43818,2022-01-16 22:09:45.873000+00:00,0.526762,736.58797,2020-11-04 16:09:15.137000+00:00,2024-08-28 20:19:06.053000+00:00,0.0,N/A,0.0,4914933898.0,1107181322.95,1183246170.68
litecoin,LTC,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,61.79,4619511395,24,5179888923,417590688,63.66,59.25,-1.6895856522826591,-2.66155,-131907772.10152626,-2.77618,74912601.9834713,84000000.0,84000000.0,410.26,-85.04287,2021-05-10 03:13:07.904000+00:00,1.15,5241.29643,2015-01-14 00:00:00+00:00,2024-08-28 20:19:08.695000+00:00,0.0,N/A,0.0,4619511395.0,74912601.98,84000000.0
uniswap,UNI,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,5.75,4334737077,25,5750767800,208605111,6.02,5.62,-0.252773903804143,-4.20832,-189911862.53116226,-4.19727,753766667.0,1000000000.0,1000000000.0,44.92,-87.26708,2021-05-03 05:25:04.822000+00:00,1.03,455.18749,2020-09-17 01:20:38.214000+00:00,2024-08-28 20:19:08.354000+00:00,0.0,N/A,0.0,4334737077.0,753766667.0,1000000000.0
wrapped-eeth,WEETH,Wrapped Eeth,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,2636.98,4103690251,26,4103690251,81640671,2705.7,2531.72,-59.82796324269975,-2.21847,-112323020.84201908,-2.6642,1557741.85780804,1557741.85780804,,4196.87,-37.35177,2024-03-13 08:29:59.938000+00:00,2231.18,17.84219,2024-01-08 03:35:28.624000+00:00,2024-08-28 20:19:08.642000+00:00,0.0,N/A,0.0,4103690251.0,1557741.86,1557741.86
matic-network,MATIC,Polygon,https://coin-images.coingecko.com/coins/images/4713/large/polygon.png?1698233745,0.44,4068868630,27,4383166396,527055371,0.490887,0.42689,-0.05114676198406293,-10.43344,-484485453.924613,-10.64019,9282943566.203985,10000000000.0,10000000000.0,2.92,-85.00376,2021-12-27 02:08:34.307000+00:00,0.00314376,13811.04632,2019-05-10 00:00:00+00:00,2024-08-28 20:19:05.980000+00:00,165.9479014510467,usd,16594.79014510467,4068868630.0,9282943566.2,10000000000.0
kaspa,KAS,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.16,3967961103,28,3967979850,82148909,0.167629,0.158135,-0.005810682328389939,-3.46638,-144500246.6804905,-3.51372,24558305886.6451,24558421919.3332,28704026601.0,0.207411,-22.25354,2024-08-01 00:40:47.164000+00:00,0.00017105,94173.66842,2022-05-26 14:42:59.316000+00:00,2024-08-28 20:19:05.470000+00:00,0.0,N/A,0.0,3967961103.0,24558305886.65,24558421919.33
internet-computer,ICP,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,7.77,3639959870,29,4050572760,110344572,8.14,7.55,-0.36409867525955697,-4.47621,-167836215.7520442,-4.4077,469271237.884384,522208310.352505,,700.65,-98.89841,2021-05-10 16:05:53.653000+00:00,2.87,169.39676,2023-09-22 00:29:57.369000+00:00,2024-08-28 20:19:08.361000+00:00,0.0,N/A,0.0,3639959870.0,469271237.88,522208310.35
aptos,APT,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,6.81,3303639640,30,7579048592,321493272,7.25,6.55,-0.44239768524628076,-6.10281,-206714652.93422842,-5.88871,485222377.862865,1113173463.3448,,19.92,-65.8378,2023-01-26 14:25:17.390000+00:00,3.08,120.96422,2022-12-29 21:35:14.796000+00:00,2024-08-28 20:19:00.268000+00:00,0.0,N/A,0.0,3303639640.0,485222377.86,1113173463.34
pepe,PEPE,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,0.0,3263150422,31,3263150422,1850880236,8.33e-06,7.42e-06,-5.6440555758e-07,-6.77986,-232776886.8573389,-6.65852,420690000000000.0,420690000000000.0,420690000000000.0,1.717e-05,-54.84004,2024-05-27 08:30:07.709000+00:00,5.5142e-08,13958.57463,2023-04-18 02:14:41.591000+00:00,2024-08-28 20:19:06.953000+00:00,0.0,N/A,0.0,3263150422.0,420690000000000.0,420690000000000.0
fetch-ai,FET,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,1.25,3131475177,32,3267533777,530940920,1.34,1.19,-0.09987587895094084,-7.42576,-258035301.28570795,-7.61276,2521012371.0,2630547141.0,2630547141.0,3.45,-63.9248,2024-03-28 17:21:18.050000+00:00,0.00816959,15152.79036,2020-03-13 02:24:18.347000+00:00,2024-08-28 20:19:04.288000+00:00,13.361192164608154,usd,1336.1192164608156,3131475177.0,2521012371.0,2630547141.0
