id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,roi_percentage,market_cap,circulating_supply,total_supply
wrapped-steth,WSTETH,Wrapped Steth,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,2958.91,10368820049,13,10368820049,135433748,3044.13,2851.82,-85.21926931030293,-2.79946,-267921989.61204147,-2.51884,3500008.42678366,3500008.42678366,,7256.02,-59.16737,2022-05-13 15:09:54.509000+00:00,558.54,430.45856,2022-05-13 01:36:45.053000+00:00,2024-08-28 19:48:58.320000+00:00,0.0,N/A,0.0,10368820049.0,3500008.43,3500008.43
avalanche-2,AVAX,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,23.94,9699381027,14,10657750665,461810122,25.62,23.29,-1.681793696216868,-6.56429,-680862595.7693348,-6.55922,404859810.606399,444862914.814921,720000000.0,144.96,-83.44197,2021-11-21 14:18:56.538000+00:00,2.8,756.91433,2020-12-31 13:15:21.540000+00:00,2024-08-28 19:49:02.535000+00:00,0.0,N/A,0.0,9699381027.0,404859810.61,444862914.81
wrapped-bitcoin,WBTC,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,59144.0,9072055705,15,9072055705,349069641,61952.0,57987.0,-2807.876036545298,-4.53236,-429687084.70142937,-4.52219,153372.25551747,153372.25551747,153372.25551747,73505.0,-19.45199,2024-03-14 07:10:23.403000+00:00,3139.17,1786.07662,2019-04-02 00:00:00+00:00,2024-08-28 19:48:57.613000+00:00,0.0,N/A,0.0,9072055705.0,153372.26,153372.26
shiba-inu,SHIB,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,0.0,8193629986,16,13904671364,440125907,1.447e-05,1.346e-05,-6.12532321728e-07,-4.23284,-333996369.9318781,-3.91664,589261343801565.9,999982345661719.0,,8.616e-05,-83.86206,2021-10-28 03:54:55.568000+00:00,5.6366e-11,24667533.22464,2020-11-28 11:26:25.838000+00:00,2024-08-28 19:48:56.760000+00:00,0.0,N/A,0.0,8193629986.0,589261343801565.9,999982345661719.0
weth,WETH,Weth,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,2515.09,7280490059,17,7280490059,1160353296,2586.37,2418.42,-71.27824547258388,-2.75592,-258447112.24431038,-3.42816,2895864.48671079,2895864.48671079,,4799.89,-47.63469,2021-11-09 00:00:00+00:00,82.1,2961.35746,2018-12-15 00:00:00+00:00,2024-08-28 19:48:58.916000+00:00,0.0,N/A,0.0,7280490059.0,2895864.49,2895864.49
chainlink,LINK,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,11.25,6862609302,18,11285330744,440176109,11.7,10.92,-0.41154432326547763,-3.52835,-231779230.51827908,-3.26708,608099971.3083414,1000000000.0,1000000000.0,52.7,-78.58721,2021-05-10 00:13:57.214000+00:00,0.148183,7514.77021,2017-11-29 00:00:00+00:00,2024-08-28 19:49:02.728000+00:00,0.0,N/A,0.0,6862609302.0,608099971.31,1000000000.0
bitcoin-cash,BCH,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,323.1,6397281551,19,6801094549,268138992,338.08,315.65,-14.581372191768935,-4.31809,-273752447.7651491,-4.1036,19753131.1466508,21000000.0,21000000.0,3785.82,-91.45616,2017-12-20 00:00:00+00:00,76.93,320.42669,2018-12-16 00:00:00+00:00,2024-08-28 19:49:02.679000+00:00,0.0,N/A,0.0,6397281551.0,19753131.15,21000000.0
polkadot,DOT,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,4.28,6025196971,20,6372152022,225340805,4.56,4.18,-0.27154592913762343,-5.96093,-373745657.09903526,-5.84074,1405756939.88339,1486706072.78339,,54.98,-92.18842,2021-11-04 14:10:09.301000+00:00,2.7,59.21961,2020-08-20 05:48:11.359000+00:00,2024-08-28 19:48:56.239000+00:00,0.0,N/A,0.0,6025196971.0,1405756939.88,1486706072.78
leo-token,LEO,Leo Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,5.8,5380958870,21,5727534120,1110718,5.87,5.71,-0.06616372953027838,-1.12878,-45164360.31081486,-0.83235,925622289.9,985239504.0,,8.14,-28.89835,2022-02-08 17:40:10.285000+00:00,0.799859,623.17277,2019-12-24 15:14:35.376000+00:00,2024-08-28 19:48:54.556000+00:00,0.0,N/A,0.0,5380958870.0,925622289.9,985239504.0
dai,DAI,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,1.0,5352323899,22,5352285815,159176304,1.003,0.984363,0.00010739,0.01075,-4820726.195741653,-0.08999,5351443947.22405,5351405869.21628,,1.22,-17.96459,2020-03-13 03:02:50.373000+00:00,0.88196,13.3787,2023-03-11 07:50:50.514000+00:00,2024-08-28 19:49:03.321000+00:00,0.0,N/A,0.0,5352323899.0,5351443947.22,5351405869.22
near,NEAR,Near Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,4.42,4911356759,23,5248773581,415900344,4.9,4.24,-0.4744780880341395,-9.68626,-503531726.11195755,-9.29902,1107181322.94878,1183246170.6779,,20.44,-78.27493,2022-01-16 22:09:45.873000+00:00,0.526762,742.92211,2020-11-04 16:09:15.137000+00:00,2024-08-28 19:48:55.382000+00:00,0.0,N/A,0.0,4911356759.0,1107181322.95,1183246170.68
